Riversystem mini_uTAHPS_qmin reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2023 12 20 8 0.6515 
2023 12 20 9 0.6514 
2023 12 20 10 0.6514 
2023 12 20 11 0.6513 
2023 12 20 12 0.6513 
2023 12 20 13 0.6513 
2023 12 20 14 0.6512 
2023 12 20 15 0.6512 
2023 12 20 16 0.6511 
2023 12 20 17 0.6511 
2023 12 20 18 0.6511 
2023 12 20 19 0.6510 
2023 12 20 20 0.6510 
2023 12 20 21 0.6509 
2023 12 20 22 0.6509 
2023 12 20 23 0.6509 
2023 12 21 0 0.6508 
2023 12 21 1 0.6508 
2023 12 21 2 0.6507 
2023 12 21 3 0.6507 
2023 12 21 4 0.6507 
2023 12 21 5 0.6506 
2023 12 21 6 0.6506 
2023 12 21 7 0.6505 
2023 12 21 8 0.6505 
2023 12 21 9 0.6505 
2023 12 21 10 0.6504 
2023 12 21 11 0.6504 
2023 12 21 12 0.6503 
2023 12 21 13 0.6503 
2023 12 21 14 0.6503 
2023 12 21 15 0.6502 
2023 12 21 16 0.6502 
2023 12 21 17 0.6501 
2023 12 21 18 0.6501 
2023 12 21 19 0.6501 
2023 12 21 20 0.6500 
2023 12 21 21 0.6500 
2023 12 21 22 0.6499 
2023 12 21 23 0.6499 
2023 12 22 0 0.6499 
2023 12 22 1 0.6498 
2023 12 22 2 0.6498 
2023 12 22 3 0.6497 
2023 12 22 4 0.6497 
2023 12 22 5 0.6497 
2023 12 22 6 0.6496 
2023 12 22 7 0.6496 
2023 12 22 8 0.6495 
2023 12 22 9 0.6495 
2023 12 22 10 0.6495 
2023 12 22 11 0.6494 
2023 12 22 12 0.6494 
2023 12 22 13 0.6493 
2023 12 22 14 0.6493 
2023 12 22 15 0.6493 
2023 12 22 16 0.6492 
2023 12 22 17 0.6492 
2023 12 22 18 0.6491 
2023 12 22 19 0.6491 
2023 12 22 20 0.6491 
2023 12 22 21 0.6490 
2023 12 22 22 0.6490 
2023 12 22 23 0.6489 
2023 12 23 0 0.6489 
2023 12 23 1 0.6489 
2023 12 23 2 0.6488 
2023 12 23 3 0.6488 
2023 12 23 4 0.6487 
2023 12 23 5 0.6487 
2023 12 23 6 0.6487 
2023 12 23 7 0.6486 
2023 12 23 8 0.6486 
2023 12 23 9 0.6485 
2023 12 23 10 0.6485 
2023 12 23 11 0.6485 
2023 12 23 12 0.6484 
2023 12 23 13 0.6484 
2023 12 23 14 0.6483 
2023 12 23 15 0.6483 
2023 12 23 16 0.6483 
2023 12 23 17 0.6482 
2023 12 23 18 0.6482 
2023 12 23 19 0.6481 
2023 12 23 20 0.6481 
2023 12 23 21 0.6481 
2023 12 23 22 0.6480 
2023 12 23 23 0.6480 
2023 12 24 0 0.6479 
2023 12 24 1 0.6479 
2023 12 24 2 0.6479 
2023 12 24 3 0.6478 
2023 12 24 4 0.6478 
2023 12 24 5 0.6477 
2023 12 24 6 0.6477 
2023 12 24 7 0.6477 
2023 12 24 8 0.6476 
2023 12 24 9 0.6476 
2023 12 24 10 0.6475 
2023 12 24 11 0.6475 
2023 12 24 12 0.6475 
2023 12 24 13 0.6474 
2023 12 24 14 0.6474 
2023 12 24 15 0.6473 
2023 12 24 16 0.6473 
2023 12 24 17 0.6473 
2023 12 24 18 0.6472 
2023 12 24 19 0.6472 
2023 12 24 20 0.6471 
2023 12 24 21 0.6471 
2023 12 24 22 0.6471 
2023 12 24 23 0.6470 
2023 12 25 0 0.6470 
2023 12 25 1 0.6469 
2023 12 25 2 0.6469 
2023 12 25 3 0.6469 
2023 12 25 4 0.6468 
2023 12 25 5 0.6468 
2023 12 25 6 0.6467 
2023 12 25 7 0.6467 
2023 12 25 8 0.6467 
2023 12 25 9 0.6466 
2023 12 25 10 0.6466 
2023 12 25 11 0.6465 
2023 12 25 12 0.6465 
2023 12 25 13 0.6465 
2023 12 25 14 0.6464 
2023 12 25 15 0.6464 
2023 12 25 16 0.6463 
2023 12 25 17 0.6463 
2023 12 25 18 0.6463 
2023 12 25 19 0.6462 
2023 12 25 20 0.6462 
2023 12 25 21 0.6461 
2023 12 25 22 0.6461 
2023 12 25 23 0.6461 
2023 12 26 0 0.6460 
2023 12 26 1 0.6460 
2023 12 26 2 0.6459 
2023 12 26 3 0.6459 
2023 12 26 4 0.6459 
2023 12 26 5 0.6458 
2023 12 26 6 0.6458 
2023 12 26 7 0.6457 
2023 12 26 8 0.6457 
2023 12 26 9 0.6457 
2023 12 26 10 0.6456 
2023 12 26 11 0.6456 
2023 12 26 12 0.6455 
2023 12 26 13 0.6455 
2023 12 26 14 0.6455 
2023 12 26 15 0.6454 
2023 12 26 16 0.6454 
2023 12 26 17 0.6453 
2023 12 26 18 0.6453 
2023 12 26 19 0.6453 
2023 12 26 20 0.6452 
2023 12 26 21 0.6452 
2023 12 26 22 0.6451 
2023 12 26 23 0.6451 
2023 12 27 0 0.6451 
2023 12 27 1 0.6450 
2023 12 27 2 0.6450 
2023 12 27 3 0.6449 
2023 12 27 4 0.6449 
2023 12 27 5 0.6449 
2023 12 27 6 0.6448 
2023 12 27 7 0.6448 
2023 12 27 8 0.6447 
2023 12 27 9 0.6447 
2023 12 27 10 0.6447 
2023 12 27 11 0.6446 
2023 12 27 12 0.6446 
2023 12 27 13 0.6445 
2023 12 27 14 0.6445 
2023 12 27 15 0.6445 
2023 12 27 16 0.6444 
2023 12 27 17 0.6444 
2023 12 27 18 0.6444 
2023 12 27 19 0.6443 
2023 12 27 20 0.6443 
2023 12 27 21 0.6442 
2023 12 27 22 0.6442 
2023 12 27 23 0.6442 
2023 12 28 0 0.6441 
2023 12 28 1 0.6441 
2023 12 28 2 0.6440 
2023 12 28 3 0.6440 
2023 12 28 4 0.6440 
2023 12 28 5 0.6439 
2023 12 28 6 0.6439 
2023 12 28 7 0.6438 
2023 12 28 8 0.6438 
2023 12 28 9 0.6438 
2023 12 28 10 0.6437 
2023 12 28 11 0.6437 
2023 12 28 12 0.6436 
2023 12 28 13 0.6436 
2023 12 28 14 0.6436 
2023 12 28 15 0.6435 
2023 12 28 16 0.6435 
2023 12 28 17 0.6434 
2023 12 28 18 0.6434 
2023 12 28 19 0.6434 
2023 12 28 20 0.6433 
2023 12 28 21 0.6433 
2023 12 28 22 0.6432 
2023 12 28 23 0.6432 
2023 12 29 0 0.6432 
2023 12 29 1 0.6431 
2023 12 29 2 0.6431 
2023 12 29 3 0.6430 
2023 12 29 4 0.6430 
2023 12 29 5 0.6430 
2023 12 29 6 0.6429 
2023 12 29 7 0.6429 
2023 12 29 8 0.6428 
2023 12 29 9 0.6428 
2023 12 29 10 0.6428 
2023 12 29 11 0.6427 
2023 12 29 12 0.6427 
2023 12 29 13 0.6426 
2023 12 29 14 0.6426 
2023 12 29 15 0.6426 
2023 12 29 16 0.6425 
2023 12 29 17 0.6425 
2023 12 29 18 0.6424 
2023 12 29 19 0.6424 
2023 12 29 20 0.6424 
2023 12 29 21 0.6423 
2023 12 29 22 0.6423 
2023 12 29 23 0.6422 
2023 12 30 0 0.6422 
2023 12 30 1 0.6422 
2023 12 30 2 0.6421 
2023 12 30 3 0.6421 
2023 12 30 4 0.6420 
2023 12 30 5 0.6420 
2023 12 30 6 0.6420 
2023 12 30 7 0.6419 
2023 12 30 8 0.6419 
2023 12 30 9 0.6418 
2023 12 30 10 0.6418 
2023 12 30 11 0.6418 
2023 12 30 12 0.6417 
2023 12 30 13 0.6417 
2023 12 30 14 0.6416 
2023 12 30 15 0.6416 
2023 12 30 16 0.6416 
2023 12 30 17 0.6415 
2023 12 30 18 0.6415 
2023 12 30 19 0.6414 
2023 12 30 20 0.6414 
2023 12 30 21 0.6414 
2023 12 30 22 0.6413 
2023 12 30 23 0.6413 
2023 12 31 0 0.6412 
2023 12 31 1 0.6412 
2023 12 31 2 0.6412 
2023 12 31 3 0.6411 
2023 12 31 4 0.6411 
2023 12 31 5 0.6410 
2023 12 31 6 0.6410 
2023 12 31 7 0.6410 
2023 12 31 8 0.6409 
2023 12 31 9 0.6409 
