Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2023 3 21 0 0.4647 0.9368 1.0328 0.5132 
2023 3 22 0 0.4338 0.9416 1.0330 0.5108 
2023 3 23 0 0.4038 0.9471 1.0334 0.5133 
2023 3 24 0 0.3757 0.9541 1.0342 0.5152 
2023 3 25 0 0.3499 0.9626 1.0353 0.5123 
2023 3 26 0 0.3252 0.9716 1.0361 0.5121 
2023 3 27 0 0.3011 0.9810 1.0368 0.5119 
2023 3 28 0 0.2779 0.9905 1.0371 0.5092 
2023 3 29 0 0.2530 0.9983 1.0366 0.5090 
2023 3 30 0 0.2275 1.0045 1.0364 0.5117 
2023 3 31 0 0.2269 1.0115 1.0362 0.5143 
2023 4 1 0 0.2980 1.0192 1.0380 0.5133 
2023 4 2 0 0.3635 1.0198 1.0392 0.5123 
2023 4 3 0 0.4064 1.0185 1.0368 0.5098 
2023 4 4 0 0.4336 1.0165 1.0323 0.5092 
2023 4 5 0 0.4556 1.0153 1.0282 0.5094 
2023 4 6 0 0.4752 1.0144 1.0245 0.5095 
2023 4 7 0 0.4913 1.0135 1.0213 0.5072 
2023 4 8 0 0.5055 1.0128 1.0187 0.5054 
2023 4 9 0 0.5183 1.0123 1.0167 0.5046 
2023 4 10 0 0.5313 1.0122 1.0153 0.5045 
2023 4 11 0 0.5620 1.0162 1.0208 0.5075 
2023 4 12 0 0.5610 0.9905 1.0174 0.5069 
2023 4 13 0 0.5601 0.9647 1.0156 0.5056 
2023 4 14 0 0.5632 0.9422 1.0156 0.5047 
2023 4 15 0 0.5649 0.9187 1.0153 0.5094 
2023 4 16 0 0.5666 0.8952 1.0151 0.5136 
2023 4 17 0 0.5701 0.8731 1.0154 0.5137 
2023 4 18 0 0.5762 0.8526 1.0161 0.5188 
2023 4 19 0 0.5850 0.8338 1.0170 0.5233 
2023 4 20 0 0.5997 0.8183 1.0185 0.5248 
2023 4 21 0 0.6232 0.8075 1.0206 0.5263 
2023 4 22 0 0.6553 0.8018 1.0234 0.5302 
2023 4 23 0 0.6995 0.8057 1.0290 0.5393 
2023 4 24 0 0.7426 0.8097 1.0333 0.5464 
2023 4 25 0 0.7782 0.8090 1.0349 0.5500 
2023 4 26 0 0.8045 0.8018 1.0341 0.5567 
2023 4 27 0 0.8214 0.7879 1.0312 0.5598 
2023 4 28 0 0.8326 0.7699 1.0278 0.5604 
2023 4 29 0 0.8409 0.7496 1.0245 0.5634 
2023 4 30 0 0.8471 0.7278 1.0216 0.5642 
2023 5 1 0 0.8525 0.7052 1.0193 0.5631 
2023 5 2 0 0.8595 0.6834 1.0177 0.5630 
2023 5 3 0 0.8686 0.6628 1.0170 0.5654 
2023 5 4 0 0.8785 0.6428 1.0166 0.5648 
2023 5 5 0 0.8869 0.6214 1.0158 0.5663 
2023 5 6 0 0.8924 0.5982 1.0146 0.5691 
2023 5 7 0 0.8952 0.5741 1.0139 0.5727 
2023 5 8 0 0.9000 0.5520 1.0143 0.5765 
2023 5 9 0 0.9166 0.5384 1.0174 0.5793 
2023 5 10 0 0.9655 0.5474 1.0270 0.5875 
2023 5 11 0 1.0000 0.5981 1.0483 0.5976 
2023 5 12 0 1.0000 0.6739 1.0798 0.6120 
2023 5 13 0 1.0000 0.7553 1.1073 0.6272 
2023 5 14 0 1.0000 0.8357 1.1268 0.6383 
2023 5 15 0 1.0000 0.9276 1.1467 0.6553 
2023 5 16 0 1.0000 1.0174 1.1740 0.6738 
2023 5 17 0 1.0000 1.0124 1.1996 0.6934 
2023 5 18 0 1.0000 1.0184 1.2000 0.7131 
2023 5 19 0 1.0000 1.0188 1.1932 0.7261 
2023 5 20 0 1.0000 1.0189 1.1873 0.7393 
2023 5 21 0 1.0000 1.0192 1.1808 0.7539 
2023 5 22 0 1.0000 1.0194 1.1750 0.7689 
2023 5 23 0 1.0000 1.0170 1.1825 0.7837 
2023 5 24 0 1.0000 1.0173 1.1886 0.8004 
2023 5 25 0 1.0000 1.0183 1.1885 0.8139 
2023 5 26 0 1.0000 1.0182 1.1877 0.8307 
2023 5 27 0 1.0000 1.0192 1.1819 0.8476 
2023 5 28 0 1.0000 1.0200 1.1690 0.8582 
2023 5 29 0 1.0000 1.0200 1.1508 0.8712 
2023 5 30 0 1.0000 1.0196 1.1326 0.8809 
2023 5 31 0 1.0000 1.0191 1.1162 0.8911 
2023 6 1 0 1.0000 1.0185 1.1019 0.8948 
2023 6 2 0 1.0000 1.0177 1.0888 0.8989 
2023 6 3 0 1.0000 1.0169 1.0771 0.9048 
2023 6 4 0 1.0000 1.0162 1.0671 0.9069 
2023 6 5 0 1.0000 1.0155 1.0586 0.9103 
2023 6 6 0 1.0000 1.0147 1.0512 0.9130 
2023 6 7 0 1.0000 1.0140 1.0446 0.9140 
2023 6 8 0 1.0000 1.0131 1.0389 0.9147 
2023 6 9 0 1.0000 1.0123 1.0338 0.9121 
2023 6 10 0 1.0000 1.0115 1.0292 0.9095 
2023 6 11 0 1.0000 1.0107 1.0253 0.9090 
2023 6 12 0 1.0000 1.0100 1.0219 0.9096 
2023 6 13 0 1.0000 1.0094 1.0190 0.9109 
2023 6 14 0 1.0000 1.0088 1.0164 0.9074 
2023 6 15 0 1.0000 1.0083 1.0143 0.9066 
2023 6 16 0 1.0000 1.0079 1.0126 0.9019 
2023 6 17 0 1.0000 1.0075 1.0112 0.8971 
2023 6 18 0 1.0000 1.0072 1.0101 0.8951 
2023 6 19 0 1.0000 1.0070 1.0092 0.8903 
2023 6 20 0 1.0000 1.0070 1.0086 0.8901 
2023 6 21 0 1.0000 1.0075 1.0088 0.8873 
2023 6 22 0 1.0000 1.0108 1.0127 0.8875 
2023 6 23 0 1.0000 1.0113 1.0147 0.8879 
2023 6 24 0 1.0000 1.0106 1.0148 0.8867 
2023 6 25 0 1.0000 1.0096 1.0139 0.8815 
2023 6 26 0 1.0000 1.0089 1.0127 0.8820 
2023 6 27 0 1.0000 1.0083 1.0117 0.8792 
2023 6 28 0 1.0000 1.0080 1.0109 0.8786 
2023 6 29 0 1.0000 1.0078 1.0102 0.8749 
2023 6 30 0 1.0000 1.0078 1.0099 0.8756 
2023 7 1 0 1.0000 1.0076 1.0094 0.8743 
2023 7 2 0 1.0000 1.0076 1.0092 0.8732 
2023 7 3 0 1.0000 1.0076 1.0090 0.8682 
2023 7 4 0 1.0000 1.0079 1.0093 0.8641 
2023 7 5 0 1.0000 1.0081 1.0096 0.8619 
2023 7 6 0 1.0000 1.0086 1.0101 0.8629 
2023 7 7 0 1.0000 1.0093 1.0112 0.8593 
2023 7 8 0 1.0000 1.0110 1.0138 0.8591 
2023 7 9 0 1.0000 1.0120 1.0163 0.8556 
2023 7 10 0 1.0000 1.0120 1.0177 0.8512 
2023 7 11 0 1.0000 1.0120 1.0187 0.8483 
2023 7 12 0 1.0000 1.0128 1.0207 0.8483 
2023 7 13 0 1.0000 1.0125 1.0214 0.8465 
2023 7 14 0 1.0000 1.0119 1.0209 0.8462 
2023 7 15 0 1.0000 1.0122 1.0214 0.8441 
2023 7 16 0 1.0000 1.0153 1.0276 0.8460 
2023 7 17 0 1.0000 1.0179 1.0381 0.8489 
2023 7 18 0 1.0000 1.0178 1.0439 0.8489 
2023 7 19 0 0.9903 0.9870 1.0334 0.8525 
2023 7 20 0 0.9769 0.9534 1.0249 0.8557 
2023 7 21 0 0.9608 0.9180 1.0181 0.8555 
2023 7 22 0 0.9429 0.8813 1.0129 0.8547 
2023 7 23 0 0.9247 0.8443 1.0091 0.8527 
2023 7 24 0 0.9049 0.8063 1.0061 0.8510 
2023 7 25 0 0.8836 0.7671 1.0035 0.8471 
2023 7 26 0 0.8614 0.7273 1.0015 0.8477 
2023 7 27 0 0.8383 0.6868 0.9997 0.8450 
2023 7 28 0 0.8146 0.6457 0.9976 0.8461 
2023 7 29 0 0.7905 0.6043 0.9953 0.8456 
2023 7 30 0 0.7680 0.5633 0.9928 0.8450 
2023 7 31 0 0.7557 0.5268 0.9911 0.8435 
2023 8 1 0 0.7389 0.5341 0.9889 0.8415 
2023 8 2 0 0.7175 0.5392 0.9862 0.8381 
2023 8 3 0 0.6939 0.5433 0.9832 0.8322 
2023 8 4 0 0.6693 0.5469 0.9801 0.8267 
2023 8 5 0 0.6444 0.5503 0.9770 0.8196 
2023 8 6 0 0.6190 0.5534 0.9738 0.8127 
2023 8 7 0 0.5929 0.5562 0.9706 0.8053 
2023 8 8 0 0.5722 0.5626 0.9689 0.8027 
2023 8 9 0 0.5565 0.5711 0.9675 0.8004 
2023 8 10 0 0.5400 0.5789 0.9656 0.7983 
2023 8 11 0 0.5265 0.5879 0.9639 0.7969 
2023 8 12 0 0.5086 0.5947 0.9615 0.7906 
2023 8 13 0 0.4877 0.6001 0.9589 0.7864 
2023 8 14 0 0.4657 0.6049 0.9561 0.7815 
2023 8 15 0 0.4520 0.6157 0.9563 0.7766 
2023 8 16 0 0.4416 0.6291 0.9576 0.7714 
2023 8 17 0 0.4275 0.6401 0.9580 0.7659 
2023 8 18 0 0.4105 0.6492 0.9576 0.7619 
2023 8 19 0 0.3923 0.6576 0.9569 0.7612 
2023 8 20 0 0.3824 0.6723 0.9594 0.7563 
2023 8 21 0 0.3678 0.6837 0.9602 0.7523 
2023 8 22 0 0.3502 0.6929 0.9601 0.7506 
2023 8 23 0 0.3307 0.7007 0.9594 0.7498 
2023 8 24 0 0.3095 0.7074 0.9581 0.7467 
2023 8 25 0 0.2911 0.7160 0.9578 0.7420 
2023 8 26 0 0.2789 0.7294 0.9598 0.7400 
2023 8 27 0 0.2677 0.7435 0.9621 0.7380 
2023 8 28 0 0.2523 0.7545 0.9630 0.7354 
2023 8 29 0 0.2341 0.7635 0.9629 0.7353 
2023 8 30 0 0.2140 0.7711 0.9621 0.7310 
2023 8 31 0 0.1927 0.7779 0.9609 0.7255 
